event_id,open_date,event_name,home,away,total_matched,backp1_a,backp1_b,sentiment_score_st_a,sentiment_score_st_b,sentiment_score_lt_a,sentiment_score_lt_b,volume_st_a,volume_st_b,volume_lt_a,volume_lt_b,wgted_players_sentiment_a,wgted_players_sentiment_b,wgted_players_sentiment_st_a,wgted_players_sentiment_st_b,volume_players_a,volume_players_b,volume_players_st_a,volume_players_st_b,volume_players_st_previous_a,volume_players_st_previous_b,date_data,date_sentiment_a,date_sentiment_b,date_odds,final_result
29055093,"2018-12-30 16:30:00","Man Utd v Bournemouth","Man Utd",Bournemouth,197640.81,1.37,9.6,80,64,57,75,79748,3708,855036,24879,64,84,78,73,223526,4333,40274,261,40241,422,2018-12-29,"2018-12-29 00:00:00","2018-12-29 00:00:00","2019-01-05 23:56:38",1
29055091,"2018-12-30 14:15:00","Burnley v West Ham",Burnley,"West Ham",108838.05,3.75,2.14,50,81,53,80,3785,12058,25082,53408,79,78,71,86,788,25157,86,7164,120,6720,2018-12-29,"2018-12-29 00:00:00","2018-12-29 00:00:00","2019-01-05 23:56:38",1
29055092,"2018-12-30 14:15:00","Southampton v Man City",Southampton,"Man City",172681.13,11.5,1.31,52,46,66,60,6062,26421,56296,160422,71,59,71,60,9588,91470,725,7336,705,7679,2018-12-29,"2018-12-29 00:00:00","2018-12-29 00:00:00","2019-01-05 23:56:38",2
29055090,"2018-12-30 12:00:00","C Palace v Chelsea","Crystal Palace",Chelsea,134482.18,5.7,1.69,65,55,66,53,4315,37328,47852,277726,82,78,73,81,11764,75585,664,13719,1301,13614,2018-12-29,"2018-12-29 00:00:00","2018-12-29 00:00:00","2019-01-05 23:56:38",2
29054915,"2018-12-29 17:30:00","Liverpool v Arsenal",Liverpool,Arsenal,408869.81,1.47,7.8,80,46,74,64,71767,45394,551133,417375,84,75,68,70,272622,183267,45015,18880,40964,17942,2018-12-28,"2018-12-28 00:00:00","2018-12-28 00:00:00","2019-01-04 23:56:38",1
29055087,"2018-12-29 15:00:00","Brighton v Everton",Brighton,Everton,52815.63,3.45,2.34,69,74,68,61,4090,10247,26428,101153,81,71,78,82,7504,25691,1324,3900,1409,4163,2018-12-28,"2018-12-28 00:00:00","2018-12-28 00:00:00","2019-01-04 23:56:38",1
29055088,"2018-12-29 15:00:00","Fulham v Huddersfield",Fulham,Huddersfield,84428.98,2.1,4.1,70,65,61,58,4140,5230,27478,29438,77,70,74,71,3299,5527,445,3230,467,1547,2018-12-28,"2018-12-28 00:00:00","2018-12-28 00:00:00","2019-01-04 23:56:38",1
29055086,"2018-12-29 15:00:00","Leicester v Cardiff","Leicester City",Cardiff,54879.81,1.55,7.6,81,75,67,77,8561,1919,44564,20414,83,89,83,80,12382,3991,3116,455,3063,369,2018-12-28,"2018-12-28 00:00:00","2018-12-28 00:00:00","2019-01-04 23:56:38",2
29055084,"2018-12-29 15:00:00","Tottenham v Wolves",Tottenham,Wolves,231830.89,1.43,9.6,74,64,69,72,29207,5079,285240,46580,75,77,79,75,84950,10171,9417,611,9489,859,2018-12-28,"2018-12-28 00:00:00","2018-12-28 00:00:00","2019-01-04 23:56:38",2
29055085,"2018-12-29 15:00:00","Watford v Newcastle",Watford,Newcastle,77525.66,1.81,5.2,70,41,70,49,3113,13992,24169,82323,90,72,78,74,12843,7218,1132,476,1736,466,2018-12-28,"2018-12-28 00:00:00","2018-12-28 00:00:00","2019-01-04 23:56:38",3
29049097,"2018-12-27 19:45:00","Southampton v West Ham",Southampton,"West Ham",24962.27,2.28,3.4,83,76,60,79,2666,2036,38225,30375,70,74,81,80,9482,19096,823,1456,1369,1834,2018-12-26,"2018-12-26 00:00:00","2018-12-26 00:00:00","2019-01-02 23:56:38",2
29049094,"2018-12-26 19:30:00","Watford v Chelsea",Watford,Chelsea,54166,5.1,1.76,78,54,68,53,1253,12486,16406,197960,90,75,87,65,12165,68904,3700,6599,4051,7195,2018-12-25,"2018-12-25 00:00:00","2018-12-25 00:00:00","2019-01-01 23:56:39",2
29049093,"2018-12-26 17:15:00","Brighton v Arsenal",Brighton,Arsenal,61233.26,5.4,1.75,69,76,69,72,1137,15315,18495,299262,82,77,81,82,6776,179297,776,28060,644,27869,2018-12-25,"2018-12-25 00:00:00","2018-12-25 00:00:00","2019-01-01 23:56:39",3
29049092,"2018-12-26 15:00:00","Burnley v Everton",Burnley,Everton,46179.03,4.4,1.99,67,44,60,59,1189,15414,17578,79160,78,69,80,62,990,24554,128,5041,89,4747,2018-12-25,"2018-12-25 00:00:00","2018-12-25 00:00:00","2019-01-01 23:56:39",2
29049084,"2018-12-26 15:00:00","C Palace v Cardiff","Crystal Palace",Cardiff,60505.8,1.66,6,79,75,58,81,5074,574,27074,12730,82,88,83,80,11541,3682,7184,329,6583,321,2018-12-25,"2018-12-25 00:00:00","2018-12-25 00:00:00","2019-01-01 23:56:39",3
29049090,"2018-12-26 15:00:00","Leicester v Man City","Leicester City","Man City",77838.87,9.8,1.37,76,66,71,65,2295,6764,23615,99199,79,61,83,72,11100,91521,2937,8409,2785,7509,2018-12-25,"2018-12-25 00:00:00","2018-12-25 00:00:00","2019-01-01 23:56:39",1
29048166,"2018-12-26 15:00:00","Liverpool v Newcastle",Liverpool,Newcastle,94454.31,1.17,20,84,58,71,52,24240,3932,338056,60948,87,73,89,82,251652,7375,35881,461,37944,630,2018-12-25,"2018-12-25 00:00:00","2018-12-25 00:00:00","2019-01-01 23:56:39",1
29049088,"2018-12-26 15:00:00","Man Utd v Huddersfield","Man Utd",Huddersfield,212720.65,1.24,16.5,80,71,48,65,38325,1160,391803,23412,62,78,85,79,206290,3257,30662,399,29315,206,2018-12-25,"2018-12-25 00:00:00","2018-12-25 00:00:00","2019-01-01 23:56:39",1
29049086,"2018-12-26 15:00:00","Tottenham v Bournemouth",Tottenham,Bournemouth,76949.82,1.37,9.8,77,80,70,77,32884,942,194535,19360,75,85,81,82,81437,4541,11468,627,10256,540,2018-12-25,"2018-12-25 00:00:00","2018-12-25 00:00:00","2019-01-01 23:56:39",1
29049083,"2018-12-26 12:30:00","Fulham v Wolves",Fulham,Wolves,49407.59,3.25,2.42,77,79,65,67,1530,2005,17303,32773,77,78,80,82,3233,10143,504,746,455,902,2018-12-25,"2018-12-25 00:00:00","2018-12-25 00:00:00","2019-01-01 23:56:39",3
29044018,"2018-12-23 16:00:00","Everton v Tottenham",Everton,Tottenham,73024.14,3.25,2.32,68,69,66,69,4464,13610,75677,197491,73,75,76,71,24706,76842,1485,15333,1163,16379,2018-12-22,"2018-12-22 00:00:00","2018-12-22 00:00:00","2018-12-29 23:56:39",2
29044020,"2018-12-22 17:30:00","Cardiff v Man Utd",Cardiff,"Man Utd",100778.4,6.4,1.62,71,71,80,46,830,46383,14385,447440,87,58,70,52,3556,188813,137,32608,140,34175,2018-12-21,"2018-12-21 00:00:00","2018-12-21 00:00:00","2018-12-28 23:56:39",2
29044025,"2018-12-22 15:00:00","Bournemouth v Brighton",Bournemouth,Brighton,39507.04,1.95,4.4,72,69,77,67,806,715,20889,21136,83,80,72,71,4663,6670,542,548,517,672,2018-12-21,"2018-12-21 00:00:00","2018-12-21 00:00:00","2018-12-28 23:56:39",1
29044027,"2018-12-22 15:00:00","Chelsea v Leicester",Chelsea,"Leicester City",43981.88,1.35,11,73,70,54,69,17725,1631,238522,27299,76,75,79,71,73745,10202,7703,1422,7288,1280,2018-12-21,"2018-12-21 00:00:00","2018-12-21 00:00:00","2018-12-28 23:56:39",2
29044021,"2018-12-22 15:00:00","Huddersfield v Southampton",Huddersfield,Southampton,63490.71,3.1,2.68,73,73,66,53,737,1658,24337,44840,78,63,69,72,2980,9528,253,390,270,628,2018-12-21,"2018-12-21 00:00:00","2018-12-21 00:00:00","2018-12-28 23:56:39",2
29044023,"2018-12-22 15:00:00","Man City v C Palace","Man City","Crystal Palace",123776.47,1.14,24,69,69,65,57,5984,1161,113401,28039,61,77,72,71,90499,4932,9259,230,9301,236,2018-12-21,"2018-12-21 00:00:00","2018-12-21 00:00:00","2018-12-28 23:56:39",2
29044024,"2018-12-22 15:00:00","Newcastle v Fulham",Newcastle,Fulham,38763.87,2.04,3.95,78,73,57,69,3289,1067,65042,21575,73,78,65,73,7048,3204,1421,298,1258,303,2018-12-21,"2018-12-21 00:00:00","2018-12-21 00:00:00","2018-12-28 23:56:39",3
